title,description,publishedAt
"Apple iPhone 17, iPhone 17 Pro, iPhone 17 Pro Max, iPhone 17 Air Prices Tipped - It's Bad News","Apple is gearing up for its annual launch event on Sept. 9, where it’s expected to unveil the iPhone 17, iPhone 17 Pro, iPhone 17 Pro Max, and the  iPhone 17 Air. A look at their prices.",2025-09-05
Pomegranate Sparkling Apple Cider Sangria,"It’s the weekend and couldn’t we all use a drink? A glass of Pomegranate Sparkling Apple Cider Sangria is just the thing! Fruity and delicious, this sangria gets its slight sweetness from fresh fruit, juice and with a little warmth from homemade cinnamon simp…",2025-09-05
Apple CEO Tim Cook announces new stores in Bengaluru and Pune,The announcement comes against the backdrop of ongoing trade negotiations between India and the United States,2025-09-05
"Trump warns ‘fairly substantial’ chip tariffs are coming; signals Apple, others will be safe","Trump has reiterated a warning that he will soon impose ""fairly substantial"" tariffs on semiconductor imports, but spare firms like Apple investing in the U.S.",2025-09-05
"At White House dinner, Tim Cook praises Trump’s ‘leadership and focus on innovation’","Yesterday, news broke that Apple CEO Tim Cook was one of many tech CEOs who had been invited for a “White House event on AI hosted by first lady Melania Trump.” Now, The Wall Street Journal has a few details of how the event went.



 more…",2025-09-05
"Watch the new Denzel Washington movie, Highest 2 Lowest, streaming now on Apple TV+","While we wait for the F1 movie’s streaming debut, Apple has just dropped a new feature film starring Denzel Washington, Highest 2 Lowest directed by Spike Lee. You can stream the movie for free right now with an Apple TV+ subscription.



Highest 2 Lowest is …",2025-09-05
Trump questions Tim Cook's intent to invest 'elsewhere' as Apple deepens roots in India,Donald Trump questioned Tim Cook about Apple's expansion. This happened during a dinner with tech leaders. Cook assured Trump of Apple's US investment. Apple is also boosting iPhone production in India. The company plans to export more to the US. Apple is ope…,2025-09-05
Apple hit with patent lawsuit over ‘Hey Siri’ and virtual keyboard features,"Once part of Nuance Communications (which powered Siri‘s speech recognition in its early years), Cerence is now a subsidiary that, according to its website, works with bringing “conversational AI to the automotive world and beyond.”



Today, Cerence filed a …",2025-09-05
"This stand can automatically lift, tilt, and turn your laptop toward you","Lenovo’s Smart Motion Concept laptop stand, announced at IFA 2025, automatically raises and lowers itself and turns and tilts to position your laptop at an ergonomic eye level. It’s a lot like an amped-up Apple Center Stage webcam, but the whole laptop adapts…",2025-09-05
"CarPlay in iOS 26 enables ‘video in the car’, but there’s a catch","Apple is making a major U-turn with CarPlay after a decade of not allowing video playback. Starting with iOS 26, Apple will allow apps to display video through the CarPlay screen while parked. 



 more…",2025-09-05
Trump Basks in Tech Leaders’ Spending Vows at White House Dinner,Meta Platforms Inc.’s Mark Zuckerberg and Apple Inc.’s Tim Cook joined tech industry leaders in touting their pledges to boost spending in the US on artificial intelligence during a dinner hosted by President Donald Trump that highlighted his deepening relati…,2025-09-05
Trump hosts tech titans - but not Musk - at White House dinner,"President Trump hosted tech leaders at the White House, showcasing AI research and investments. He emphasized the financial commitments from companies like Meta, Apple, Google, and Microsoft.",2025-09-05
"Apple iPhone 17 Series Launch: What to expect from iPhone 17, Pro, Pro Max, and new Air model","Apple iPhone 17 Pro Max release date: Apple is set to launch the iPhone 17 series on September 9. The lineup may include iPhone 17, Pro, Pro Max, and a new 'Air' model. The Pro Max variant is likely to see a price increase with upgraded storage. Pro models ma…",2025-09-05
Taiwan PCB makers brace for mixed 2H25 as tariffs cloud demand,"As the second half of 2025 ushers in the peak season for consumer electronics, Taiwanese PCB suppliers are preparing for new product launches from key clients like Apple. Despite ongoing global tariff disruptions, industry participants indicate that third-qua…",2025-09-05
Apple considering iPhone price hikes because of increased tariffs (which exempt cell phones). Also expecting NO pushback from rube fanbois [Obvious],Apple considering iPhone price hikes because of increased tariffs (which exempt cell phones). Also expecting NO pushback from rube fanbois,2025-09-05
"Apple has reportedly launched an AI chatbot, but it's not for the iPhone 17 (or you)","The company has launched a new beta feature for its retail employees, according to a report, at a time when virtually all of its competitors are investing billions in new customer-facing AI tools.",2025-09-05
Paramount Pictures 50-Movie Collection $49.99 @ Apple TV,Believe this deal was last available in July but not sure on expiry. $1 per movie!,2025-09-05
Fandango Apple Pay Wednesday 9/10: $5 off ticket w ApplePay and Code,"Get $5 off your ticket order when you make a purchase on Wednesday with Apple Pay, for any movie playing on any day of the week.
Must Use code: APPLEPAYWED
Limited Quantity. Terms Apply:

Redemption I",2025-09-05
Apple is reportedly tapping Google to help with an AI search tool to rival OpenAI,Apple is reportedly tapping Google to help with an AI search tool to rival OpenAImashable.com,2025-09-05
Apple Music Student Subscription + FREE Apple TV+ for $5.99/Month,"I was trying to find a free Apple TV+ subscription, but apparently, none exist at the money. 
 
However, verified college students can get Apple Music for $5.99 a month, which also comes with a free...",2025-09-05
Ctrl-Alt-Speech: The Haidt Of Hypocrisy,"Ctrl-Alt-Speech is a weekly podcast about the latest news in online speech, from Mike Masnick and Everything in Moderations Ben Whitelaw. Subscribe now on Apple Podcasts, Overcast, Spotify, Pocket Casts, YouTube, or your podcast app of choice — or go straight…",2025-09-04
Ctrl-Alt-Speech: The Haidt Of Hypocrisy,"Ctrl-Alt-Speech is a weekly podcast about the latest news in online speech, from Mike Masnick and Everything in Moderation‘s Ben Whitelaw. Subscribe now on Apple Podcasts, Overcast, Spotify, Pocket Casts, YouTube, or your podcast app of choice — or go straigh…",2025-09-04
Suffolks former top cop backs Zohran Mamdani’s NYPD philosophy but falls short of endorsement,Former Suffolk County Police Commissioner Rodney Harrison has publicly backed Zohran Mamdani to become the next mayor in the Big Apple.,2025-09-04
"Apple Arcade Adds Three New Games, Including NFL Retro Bowl ’26 and Jeopardy! Daily","Apple today added three new games to the Apple Arcade library today. The new games are NFL Retro Bowl ’26,  Jeopardy! Daily, and My Talking Tom Friends+.Read More...",2025-09-04
[iOS] Free - Adobe Premiere Pro (Was $36/Month) @ Adobe,"Source - Adobe announced on Thursday that it will release Premiere Pro as an iPhone app this fall, named simply Premiere, dropping on Sept. 30. You can preorder the app now in the Apple App …",2025-09-04
